,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
16420,,2500,920,1220000,26,190,176,3,São Paulo,,,Campo Belo,Dependência de empregados,3,Apartamento,R República do Iraque 1124,3,Apartamento Campo Belo 3 Suites 3 Vagas,3,
16421,3000,535,138,,2,40,30,1,São Paulo,,,Brooklin Paulista,,1,Apartamento,Avenida Portugal 1278,1,Apartamento Studio para Locação no Brooklin,1,3000535
16422,,886,172,890000,,68,68,2,São Paulo,Fitness/Sala de Ginástica,,Aclimação,,2,Apartamento,Rua Gaspar Lourenço,2,Apartamento em Vila Mariana - São Paulo,2,
16423,,,,650000,,105,73,2,Itapema,,,Meia Praia,,2,Apartamento,254 A,2,Apartamento à Venda - em Meia Praia,2,
16424,,,,290000,,,,,Rio de Janeiro,,,Recreio dos Bandeirantes,,2,Apartamento,Rua Guilherme Baptista 895,1,Apartamento à Venda - no Recreio Dos Bandeirantes,1,
16425,,1600,600,1380000,,,,5,,,,,Dependência de empregados,4,Apartamento,,3,Moema 4 Dorms Sendo 3 Suítes! 2 Vgs!,2,
16426,1100,1160,,,,250,,,Balneário Camboriú,Aquecimento central,,Centro,Ar condicionado,2,Apartamento,Atlântica 2440,2,Apartamento para Aluguel - no Centro,3,11001160
16427,,980,,1315000,36,,105,,São Paulo,Salão de festas,,Vila Mariana,Armário de cozinha,3,Apartamento,Eça de Queiroz,1,Apartamento 3 Dormitórios Vila Mariana,1,
16428,,500,,540000,5,153,104,3,Campinas,Elevador,Aceita FGTS,Centro,Suítes,2,Apartamento,Rua Padre Vieira,1,2 Dormitórios no Centro Campinas,2,
16429,,2100,,2200000,4,,185,5,Brasília,Fitness/Sala de Ginástica,Andares,Noroeste,Suítes,4,Apartamento,SQNW 110 Bloco K,4,Sqnw 110 Edifício Selection 36 Andar Alto 99554 - 6676,3,
16430,,369,,250000,,,48,1,,Playground,,,Mobiliado,2,Apartamento,,,"Apartamento para Venda - São Paulo / Sp, Bairro Vila Ema",1,
16431,,360,,250000,16,,48,1,,,,,Mobiliado,2,Apartamento,,,"Apartamento para Venda - São Paulo / Sp, Bairro Vila Ema",1,
16432,,1201,200,1100000,,135,135,1,São Paulo,Elevador,,Jardim Paulista,,3,Apartamento,Avenida Rebouças,1,Apartamento Espaçoso E Iluminado - Ao Lado Da Estação Oscar Freire!,1,
16433,,850,5400,850000,2,140,140,3,São Paulo,Espaço Gourmet,Posição do Apto,Água Fria,Suítes,2,Apartamento,"Rua Sylvio Delduque,",2,Apartamento De 3 Quartos Sendo 2 Suites na Água Fria,3,
16434,,580,8,530000,,47,47,1,São Paulo,Portão Eletrônico,,Chácara Santo Antônio,Churrasqueira,2,Apartamento,R Antônio das Chagas,,Apartamento na Chácara Santo Antônio - Impecável!,1,
16435,8000,2780,1200,2300000,,,167,4,,,,,,3,Apartamento,,3,01 Por Andar - 03 Suítes - 04 Vagas - Vila Mariana!,4,80002780
16436,,650,,1645350,,37,124,3,Belo Horizonte,Salão de festas,,Funcionários,Jardim,3,Apartamento,Rua Bernardo Guimarães,1,Apartamento à Venda - em Funcionários,3,
16437,,650,,785510,,,70,3,Belo Horizonte,Salão de festas,,Funcionários,Jardim,2,Apartamento,Rua Bernardo Guimarães,2,Apartamento à Venda - em Funcionários,2,
16438,,650,,1118410,,,95,3,Belo Horizonte,Salão de festas,,Funcionários,Jardim,3,Apartamento,Rua Bernardo Guimarães,1,Apartamento à Venda - em Funcionários,2,
16439,,1385,2300,1450000,,200,137,1,São Paulo,,,Vila Mariana,Mobiliado,3,Apartamento,R Doutor Nicolau de Sousa Queirós,1,"Apartamento Residencial à Venda, Vila Mariana, São Paulo - Ap10234.",2,
16440,,680,,425000,,,64,1,São Paulo,,,Sacomã,,3,Apartamento,Vergueiro,,Apartamento para Venda no Sacomã - Vila Positano,1,
16441,,908,2614,880000,,110,110,2,São Paulo,Portão Eletrônico,,Vila Guarani(Zona Sul),Closet,3,Apartamento,AV Leonardo da Vinci,1,"Apartamento Residencial à Venda, Vila Guarani (Zona Sul), São Paulo.",2,
16442,,780,140,470000,10,47,47,2,São Paulo,Espaço Gourmet,,Campo Belo,Closet,1,Apartamento,Constantino de Sousa,1,Apartamento A Venda no Campo Belo - Vivere Campo Belo,1,
16443,,595,20,550000,37,,64,1,São Paulo,,,Bela Vista,Elevador,1,Apartamento,Rua Martiniano de Carvalho 484,,"Apartamento 64 m à Venda, Bela Vista, São Paulo.",1,
16444,10000,2000,800,2000000,40,293,214,3,São Paulo,,,Morro dos Ingleses,Suítes,3,Apartamento,Rua dos Ingleses 524,3,"Apartamento 214 m para Venda E Locação, Morro Dos Ingleses, São Paulo.",2,100002000
16445,,650,,845000,,98,98,3,São Paulo,Portão Eletrônico,,Vila Parque Jabaquara,Suítes,3,Apartamento,R das Grumixamas,1,3 Dormitórios Próximo Metro Jabaquara,2,
16446,,2000,,2000000,,293,214,3,,,,,Dependência de empregados,3,Apartamento,,3,"Apartamento Venda 3 Suítes, Morro Dos Ingleses Sp.",2,
16447,,450,1200,1150000,1,82,82,3,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Itaim,Suítes,2,Apartamento,RUA FIANDEIRAS. Nº 80,1,Lindo Novo no Itaim 2 Dom. Varanda C/churrasqueira E 2 Vagas Só R$1.1155.000,2,
16448,3500,1000,175,812000,,,94,3,,Portão Eletrônico,,,Churrasqueira,3,Apartamento,,1,Excelente Apartamento Com 94 m&sup2; 3 Quartos E 2 Vagas - Ótima Aquisição!,2,35001000
16449,1500,,209,,,,35,1,,,,,,,Comercial,,,Sala Comercial 35 m&sup2; - Rua Guaipá,,
16450,,450,,238000,4,48,48,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Parque Reboucas,Piso frio,2,Apartamento,"R. Celso Ramos, 32",0,Apartamento De 2 Dormitórios Com 1 Vaga no Morumbi,1,
16451,,2500,700,2400000,14,,165,4,São Paulo,Espaço Gourmet,,Moema,Suítes,3,Apartamento,AV Macuco,3,Belíssimo Apartamento em Moema Pássaros - Macuco,3,
16452,,1883,647,1750000,30,,157,5,São Paulo,Piscina,,Moema,Armário embutido,3,Apartamento,Dos Anapurus,3,Apartamento A Venda em Moema Índios - Anapurus,2,
16453,,,,334450,Breve lançamento,48,48,2,São Paulo,Fitness/Sala de Ginástica,,Consolação,,1,Apartamento,Álvaro de Carvalho,1,"More em Um Lugar Onde, A Cada Esquina, Você Vai Se Sentir Vivo E Inspirado!",,
16454,,820,140,850000,5,67,67,2,São Paulo,Espaço Gourmet,,Brooklin Novo,Ar condicionado,2,Apartamento,Castilho,1,Apartamento A Venda no Brooklin - Code Berrini,2,
16455,1800,420,80,,4,48,48,1,São Paulo,Fitness/Sala de Ginástica,,Morumbi,Mobiliado,2,Apartamento,R. João Simões de Souza,0,Apartamento Mobiliado 2 Quartos na Vila Andrade – Morumbi,1,1800420
16456,,1463,2200,850000,,113,113,2,São Paulo,Portão Eletrônico,,Vila Mascote,Suítes,2,Apartamento,R Viçosa do Ceará,2,Linda Cobertura Duplex Mobiliada à Venda Com 113 m&sup2; na Vila Mascote,2,
16457,3500,640,383,,,104,104,3,São Paulo,Solarium,,Brooklin,Churrasqueira,3,Apartamento,Cancioneiro Popular,1,"Apartamento Residencial para Locação, Brooklin, São Paulo.",3,3500640
16458,,,,470000,,80,120,3,São Paulo,,,Vila Carrão,Estuda permuta,3,Casa,R Ângelo Pavan,1,Sobrado Com 3 Dormitórios E 2 Vagas à Venda na Vila Carrão,2,
16459,,400,,355000,,68,,1,,Quadra poliesportiva,,,Guarita,2,Casa,,0,Sobr. Cond. Fechado - V. Jerusalem,2,
16460,,1,1,599000,,110,92,3,Curitiba,,,Rebouças,Churrasqueira,2,Apartamento,Avenida Silva Jardim 1163,2,Silverstone - Cobertura - 2 Suítes - 2 Vagas - Rebouças,2,
16461,,540,,250000,,60,60,2,,,,,Aceita Financiamento,2,Apartamento,,,Apartamento Área Privilegiada na Martim De Sá,1,
16462,,,,800000,,360,255,4,,Acesso asfaltado,,,Churrasqueira,4,Casa,,3,Belo Sobrado em Bairro Residencial,4,
16463,,250,1370,400000,,1350,113,2,,Sistema de alarme,,,Suítes,3,Casa,,1,"Village Residencial à Venda, Cidade Jardim, Caraguatatuba - Vl0007.",2,
16464,,1000,134,685000,,110,65,2,,,,,Aceita Financiamento,2,Apartamento,,1,Perdizes 2 Vagas,2,
16465,,330,,379000,,85,65,1,,,,,Piso frio,3,Apartamento,,1,Apartamento em Faze De Construção Próximo Metro Com Suite,1,
16466,,290,,199000,,57,47,1,,,,,Piso frio,2,Apartamento,,0,Minha Casa Minha Vida Aricanduva Documentação Gratis,1,
16467,,1,1,389000,Breve lançamento,113,80,2,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Bacacheri,Suítes,3,Apartamento,Rua João Batista Trentin 890,1,Le Havre - 3 Quartos/2 Vagas - 80 m&sup2; Privativos - Sacada C/ Churrasqueira,2,
16468,,850,330,795000,,120,120,2,,Espaço Gourmet,,,Churrasqueira,3,Apartamento,,2,Apartamento à Venda - em Butantã,3,
16469,,300,,319000,,66,56,1,,,,,Piso frio,2,Apartamento,,1,Apartamento em Faze De Construção Próximo Ao Metro Belém,1,
16470,,,,295000,,260,80,2,,Acesso asfaltado,,,Suítes,3,Casa,,,Casa Nova Com 03 Dorm. E 80 m&sup2; no Balneário Califórnia - Caraguatatuba - Sp,6,
16471,,,,1000000,15,440,120,2,Itapoá,,,Jardim Pérola do Atlântico,,4,Terreno,Av.Beira Mar 03  n°  768,0,"Imóvel para Venda, Frente para Av Beira Mar 3. (Calcadão Central)",8,
16472,,290,,199000,,57,47,1,,,,,Piso frio,2,Apartamento,,0,Minha Casa Minha Vida Aricanduva Documentação Gratis,1,
16473,,1800,300,1585000,,230,190,4,,Portão Eletrônico,,,Suítes,4,Apartamento,,2,Perdizes Espetacular!,2,
16474,,950,170,965000,,130,90,2,,,,,Aceita Financiamento,3,Apartamento,,1,Vila Romana Especial!,2,
16475,3200,,,789000,,180,110,3,,,,,Piso frio,4,Apartamento,,1,Ponta Verde Magnifico!,2,
16476,,1833,717,2045000,,330,220,5,,,,,,4,Apartamento,,3,Perdizes 220 Uteis!,3,
16477,4200,2592,,1400000,,160,127,3,São Paulo,Salão de Jogos,,Higienópolis,Suítes,3,Apartamento,R DOUTOR VEIGA FILHO,1,Apartamento Disponível para Venda Ou Locação.,2,42002592
16478,,520,241,640000,,,85,3,São Paulo,Forno de pizza,,Tatuapé,Aceita Financiamento,3,Apartamento,Rua Vilela,1,Excelente Apartamento em Localização Privilegiada Próximo Ao Metrô Carrão,2,
16479,2000,1610,425,,,,110,5,São Paulo,Fitness/Sala de Ginástica,,Vila Andrade,Suítes,3,Apartamento,R Almansa 225,3,"Rua Fechada, Próximo Parque Burle Marx",3,20001610
16480,1100,315,57,,,,63,1,São Paulo,,,Vila Lageado,,1,Apartamento,R FREI PAULO DE SOROCABA 126,,"Apto para Locação na Vila Lageado, 1 Dormitório E 1 Vaga",1,1100315
16481,3500,1520,400,,,,100,2,São Paulo,Salão de festas,,Moema,Varanda,2,Apartamento,R Canário 917,1,Apartamento Locação 2 Dormitórios Moema Pássaros,2,35001520
16482,,,,950000,,300,200,3,,,,,,3,Casa,,1,Excelente Sobrado ',2,
16483,,,,470000,,250,470,2,,,,,,3,Casa,,0,Casa à Venda - em Guaianazes,2,
16484,,1000,330,555000,,150,95,3,,,,,Mobiliado,3,Apartamento,,1,Saúde Muito Abaixo Do Preço!,2,
16485,5000,460,97,1170000,,,192,3,Jundiaí,,,Medeiros,Suítes,5,Casa,Avenida Reynaldo de Porcari 1731,2,Sobrado Impecável Pronto para Morar no Medeiros,4,5000460
16486,,,,2277646,Breve lançamento,202,202,6,Brasília,Fitness/Sala de Ginástica,Andares,Park Sul,Suítes,4,Apartamento,SGCV LOTE 21,4,O Que Há De Melhor E Mais Moderno no Mercado Imobiliário De Brasília 4 Suítes.,4,
16487,5000,1500,400,1350000,,,112,3,São Paulo,Salão de festas,,Moema,Suítes,3,Apartamento,AL Dos Anapurus 1114,1,Apartamento A Venda 3 Dorm. 2 Vagas Moema Indios,2,50001500
16488,,400,85,305000,,67,67,1,Guarulhos,,,Jardim Albertina,Churrasqueira,3,Apartamento,Estrada Presidente Juscelino Kubitschek de Oliveira,1,"Apartamento Acqua Park Jardim Albertina, Guarulhos.",1,
16489,1350,380,107,,,,53,,,Fitness/Sala de Ginástica,,,,2,Apartamento,,,Locação Apartamento Sao Paulo Sacomã Ref: 15791,1,1350380
16490,2530,680,318,,,117,117,2,Osasco,,,Vila Campesina,,3,Apartamento,Rua Deputado Emílio Carlos 832,1,"Apartamento no Bairro Do Vila Yara - Osasco Sp, Com 117 m&sup2;",1,2530680
16491,1430,1250,350,,,152,152,1,Osasco,Espaço Gourmet,,Vila Yara,Churrasqueira,4,Apartamento,Rua Doutor Paulo Ferraz da Costa Aguiar 1522,3,"Apartamento no Bairro Do Vila Yara - Osasco Sp, Com 152 m&sup2;",3,14301250
16492,,800,1200,2499000,1,175,175,4,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Moema,Suítes,3,Apartamento,"Avenida Pavao, 200",3,"3 Suites 2 Vagas Moema Super Desconto De Final De Ano De R$3 Milhões Por R$2,5",2,
16493,,,,445000,,118,118,1,,,,,Aceita Financiamento,3,Casa,,1,Casa 3 Quartos no Santa Monica.,2,
16494,,,150,255000,,100,100,2,Praia Grande,,,Canto do Forte,,3,Casa,,1,Casa no Canto Do Forte Com Edícula,1,
16495,1500,,,,,60,60,1,Brasília,,,Asa Sul,,2,Casa,QD Shigs 705 Bloco K,0,Asa Sul 705 - Nascente - Reformada,1,
16496,,,130,550000,,150,131,3,São Paulo,Lavanderia,,Parque Colonial,Mobiliado,2,Casa,R Barão de Santa Branca,,"Casa Residencial à Venda, Campo Belo, São Paulo - Ca8458.",2,
16497,3000,1700,200,,,126,105,3,São Paulo,,,Moema,,3,Apartamento,Gaivota,1,"Apartamento, Moema - São Paulo",1,30001700
16498,,1520,6530,1450000,,250,156,0,,,,,,3,Apartamento,,3,Apartamento A Venda Moema,2,
16499,,1100,380,970000,17,120,95,4,São Paulo,Vestiário,,Moema,Suítes,3,Apartamento,Ibijaú,2,"Apartamento, Moema - São Paulo",2,
16500,3500,700,400,710000,,,111,4,,Espaço Gourmet,,,Churrasqueira,2,Apartamento,,1,Porto Cidade - 2 Suítes - Venda Ou Locação - Ponta Da Praia,2,3500700
16501,3000,,,,,,170,3,,,,,Varanda,3,Apartamento,,1,Locação - 3 Dormitórios Com Dependência - Ponta Da Praia,1,
16502,,,,325000,,149,102,0,Londrina,,,Vila Ipiranga,Copa,3,Apartamento,AV JUSCELINO KUBITSCHEK 2106,0,Venda,1,
16503,,440,,430000,,45,45,1,Brasília,Interfone,Andares,Asa Norte,Aceita Financiamento,2,Apartamento,SQN,,Sqn 402 - Reformadíssimo - 45 m&sup2; - 2q,,
16504,,2251,1045,2200000,,,205,5,,,,,,4,Apartamento,,3,"Apartamento, Vila Mariana, São Paulo",4,
16505,,430,,350000,,91,65,2,Curitiba,Fitness/Sala de Ginástica,,Ecoville,Churrasqueira,3,Apartamento,Rua Professor Pedro Viriato Parigot de Souza 1900,1,Colina Ecoville - Sym Imóveis,1,
16506,,1800,900,1930000,12,173,173,4,São Paulo,Espaço zen,,Vila Romana,Churrasqueira,3,Apartamento,Fábia,3,Apartamento A Venda na Vila Romana - Paradiso Vila Romana,3,
16507,1800,1803,395,,,110,110,2,São Paulo,Sistema de alarme,,Real Parque,Suítes,2,Apartamento,R Dom Paulo Pedrosa,1,"Próximo Ponte Do Morumbi E Marginal Pinheiros, Apartamento 110 M&sup2;!",2,18001803
16508,700,,,,,4,55,1,,,,,,1,Apartamento,,0,Apartamento em Jardim São Marcos,1,
16509,,715,900,670000,,70,70,2,São Paulo,Portão Eletrônico,,Chácara Inglesa,Churrasqueira,3,Apartamento,R Jaci,1,"Apartamento Residencial à Venda, Chácara Inglesa, São Paulo.",1,
16510,2300,655,22,,,98,94,2,,,,,Despensa,2,Apartamento,,0,Apto para Locação 02 Dorms. Bela Vista,0,2300655
16511,,2600,280,4300000,,230,200,5,Bertioga,Forno de pizza,,Riviera de São Lourenço,Suítes,4,Apartamento,AV. DA RIVIERA 821,4,Apartamento Riviera De São Lourenço em Bertioga,3,
16512,,1575,280,1750000,44,,137,3,São Paulo,,,Pinheiros,,3,Apartamento,R Mourato Coelho 83,1,"Apartamento para Venda, 137 m&sup2; - Pinheiros",1,
16513,,700,250,3600000,,600,380,7,Bertioga,Quadra de tênis,,Riviera de São Lourenço,Suítes,6,Casa,AVENIDA DA RIVIERA 820,6,Casa Riviera De São Lourenço em Bertioga,5,
16514,,,1010,550000,25,177,113,2,Curitiba,Interfone,,Bacacheri,Mobiliado,3,Apartamento,Rua Estados Unidos 1471,1,Edifício Jatobá - Apartamento 3 Quartos (1 Suíte) no Bacacheri,1,
16515,,944,245,744000,5,,65,2,São Paulo,Espaço Gourmet,,Vila Mariana,Guarita,2,Apartamento,R Deputado Joaquim Libânio,1,"2 Dormitórios, Suite, 2 Vagas, Terraço, Novo, Próximo Metrô Chácara Klabin",2,
16516,,1109,370,1385000,,107,107,3,São Paulo,Fitness/Sala de Ginástica,,Moema,Suítes,3,Apartamento,Avenida Jandira,1,Apartamento em Indianópolis - São Paulo,2,
16517,2000,,,,,66,66,1,,Salão de festas,Andares,,Suítes,3,Apartamento,,,Apartamento - Macedo,1,
16518,,1650,530,1770000,,180,180,1,São Paulo,Sistema de alarme,,Saúde,Aceita Financiamento,3,Apartamento,AV Afonso Mariano Fagundes,2,Cobertura! Lindissima,4,
16519,,900,2800,1680000,40,170,158,4,Brasília,Interfone,Andares,Asa Sul,Suítes,3,Apartamento,SQS 316 Bl E,2,Sqs - 316 - 3 Quartos - Sendo 2 Suítes - Excellence Unidade,1,
16520,,,171,240000,,125,70,3,,Churrasqueira,,,Churrasqueira,2,Casa,,1,"Casa para Venda - Praia Grande / Sp, Bairro Jd. Real",2,
16521,,950,195,650000,,,68,2,,Elevador,Andares,,,2,Apartamento,,,Apartamento - Barra Da Tijuca,2,
16522,,1400,580,1030000,,120,120,2,São Paulo,Fitness/Sala de Ginástica,,Vila Mariana,,3,Apartamento,Avenida Engenheiro Luiz Gomes Cardim Sangirardi,1,120 m&sup2; - 3 Vagas - Lazer Completo - Próximo Ao Metrô,3,
16523,,585,,750000,,214,126,4,Itapema,Espaço Gourmet,,Centro,Churrasqueira,,Apartamento,"Rua , esq. 2ï¿½ Avenida, Itapema - SC",3,Garden Ville,2,
16524,,,,477000,,90,76,2,Itapema,Salão de festas,,Centro,Churrasqueira,1,Apartamento,"Rua , esq. 2ï¿½ Avenida, Itapema - SC",1,Galï¿½cia Residencial,1,
16525,,950,178,1050000,,100,100,2,São Paulo,Salão de festas,,Jardim Paulista,Armário embutido,2,Apartamento,Alameda Fernão Cardim,0,Apartamento De 100 m&sup2; na Melhor Rua Do Jardim Paulista!,1,
16526,,,1,2016000,,144,144,2,,,Andares,,Aceita Financiamento,,Comercial,,,Comercial - Jardim Paulista,4,
16527,,380,,215000,11,,50,1,São Bernardo do Campo,Elevador,Aceita FGTS,Demarchi,Mobiliado,2,Apartamento,Avenida Maria Servidei Demarchi,0,Lindo Apartamento A Venda. Lazer Completo! - Sbc,1,
16528,,,1,850000,,105,105,3,,Espaço Gourmet,Andares,,Suítes,3,Apartamento,,1,Apartamento - Vila Cruzeiro,2,
16529,,,1,465000,,68,68,2,,Espaço Gourmet,Andares,,Guarita,2,Apartamento,,1,Apartamento - Ipiranga,1,
16530,45000,1200,3294,,,3350,3350,,,,,,,,Comercial,,,Comercial - Vila Menk,,450001200
16531,,,295,700000,,140,340,4,,,,,,3,Casa,,,Casa - Quitauna,4,
16532,6000,,,,,275,275,2,,,,,,3,Casa,,2,Casa - Km 18,4,
16533,2800,,20,,,107,107,1,,,,,,3,Apartamento,,1,Apartamento - Centro,2,
16534,,110,30,179900,Breve lançamento,3940,40,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Itaquera,,2,Apartamento,"rua carlos augusto bauman,",0,Condições Imperdíveis!,0,
16535,,,,890000,,215,130,3,Itapema,,,Meia Praia,,3,Apartamento,Av. Nereu Ramos,2,Apartamento à Venda - em Meia Praia,2,
16536,,1060,370,1250000,27,150,150,4,São Paulo,Sauna,,Saúde,Armário de cozinha,3,Apartamento,Major Freire,1,Apartamento A Venda na Saúde - Próximo à Estação De Metrô São Judas,2,
16537,,,,425000,,126,74,2,,,,,,2,Apartamento,,1,Apartamento à Venda - em Ingleses,1,
16538,,500,2500,299000,1,4700,470,0,São José dos Campos,Fitness/Sala de Ginástica,,Urbanova,Guarita,0,Terreno,"RUA CAMBACICA, 234",0,Terreno Alphaville São José Dos Campos à Partir De R$299 Mil Ac. Carro Financia,0,
16539,,560000,,560000,1,43,43,2,São Paulo,,,Pinheiros,,1,Apartamento,"Rua Alves Guimarães,",1,"Meet - Home, 2 Dorms. De, 43 m&sup2; 1vaga Proximo A 2 Quadras Metrô Sumare",1,
16540,,2180,,1800000,18,203,203,5,São Paulo,Salão de festas,,Perdizes,Armário embutido,4,Apartamento,R Caiubi,4,Apartamento A Venda na Pompéia - Lester Young,3,
16541,,2000,650,2040000,,170,170,3,São Paulo,,,Cidade Monções,Closet,3,Apartamento,R Pensilvânia,3,Pensilvania Brooklin,3,
16542,,550,,420000,11,54,54,2,São Paulo,Espaço Gourmet,,Cambuci,Armário embutido,2,Apartamento,Cesário Ramalho,1,Apartamento A Venda no Cambuci - Mundo Apto,1,
16543,,230,100,2400000,,276,276,4,São Paulo,Portão Eletrônico,,Campo Belo,Suítes,4,Apartamento,R Volta Redonda,2,"Campo Belo 4 Dormitórios, 3 Vagas Pronto para Morar",3,
16544,,1000,400,900000,36,,113,4,São Paulo,Portaria 24 horas,,Brooklin Paulista,Guarita,3,Apartamento,Guararapes,1,Apartamento 3 Dormitórios 1 Suíte 2 Vagas (Fixas) 113 m&sup2; Andar Alto 900.000,2,
16545,,800,66,614800,,67,67,2,São Paulo,Portão Eletrônico,,Jardim da Glória,Suítes,2,Apartamento,R Ingles de Sousa,2,Ótima Oportunidade Pronto para Morar,1,
16546,15000,4199,2033,6500000,,688,488,5,São Paulo,Solarium,,Itaim Bibi,Suítes,3,Apartamento,R Pedroso Alvarenga,3,"Excelente Cobertura Com 488 m&sup2; A Venda E Locação, Itaim Bibi, São Paulo - Co0243.",3,150004199
16547,7700,1500,800,,11,152,152,5,São Paulo,Espaço Gourmet,,Brooklin Paulista,,3,Apartamento,R Barão do Triunfo,3,Apartamento para Locação no Brooklin Paulista - Espaço Das Artes,3,77001500
16548,,534,147,430000,,66,66,2,São Paulo,Portão Eletrônico,,Saúde,Armário de cozinha,3,Apartamento,R Abagiba,1,"Apartamento Residencial à Venda, Saúde, São Paulo.",1,
16549,,380,,365000,,66,66,2,São Paulo,Playground,,Sacomã,Armário embutido,3,Apartamento,Padre Arlindo Vieira,1,Apartamento A Venda no Sacomã,1,
16550,,750,1200,520000,,58,58,2,São Paulo,,,Moema,Churrasqueira,2,Apartamento,AL Jauaperi,1,Belo Apartamento em Moema,1,
16551,,990,420,1234000,,117,117,2,São Paulo,,,Indianópolis,,2,Apartamento,R Gaivota,2,Nunca Habitado,2,
16552,9000,1424,268,,,74,74,2,São Paulo,Portão Eletrônico,,Vila Nova Conceição,Suítes,1,Apartamento,R Diogo Jácome,1,Tenha Como Quintal O Parque Do Ibirapuera,2,90001424
16553,,1436,240,1100000,,110,110,2,São Paulo,Sistema de alarme,,Indianópolis,Suítes,3,Apartamento,AV Macuco,1,Apartamento em Moema! 3 Quartos E 2 Vagas!,2,
16554,,860,161,700000,4,,67,2,São Paulo,Elevador,,Bosque da Saúde,Guarita,2,Apartamento,AV Itaboraí,1,"2 Dormitórios, Suite, 67 Útil, Prédio Novo, Terraço Gourmet",2,
16555,,,,58172800,,28,,0,,,,,,0,Terreno,,0,"Ref 9405 - Ótimo Terreno para Venda no Bairro Pinheiro, 28 m",0,
16556,,900,161,550000,,77,77,2,São Paulo,Salão de festas,,Planalto Paulista,Varanda,3,Apartamento,R Ararapira,1,Apartamento 3 Dormitórios A 200 m Do Metrô São Judas,2,
16557,,1200,,950000,,70,70,0,São Paulo,Fitness/Sala de Ginástica,,Jardim Paulista,Suítes,2,Apartamento,Alameda Itu,0,Apartamento em Jardim Paulista - São Paulo,1,
16558,,,,1200000,10,224,116,4,Balneário Camboriú,,,Centro,,3,Apartamento,Rua,3,Apartamento 03 Suítes Centro Balneário Camboriú,2,
16559,,1400,333,905000,,88,88,4,São Paulo,Elevador,,Moema,Suítes,3,Apartamento,Rua Araguari,1,"Moema Pássaros, Andar Alto Com Vista Livre, A 25 Minutos Á Pé Do Parque Ibirapuera.",2,
16560,,,,1000000,,384000,,2,Nazaré Paulista,,,Centro,Churrasqueira,2,Rural,,0,Rural à Venda - no Centro,10,
16561,,,300,1380000,,170,150,5,São Paulo,,,Brooklin,Despensa,3,Casa,"RIBEIRO O VALE,RUA 970",1,"Sobrado Residencial, em Boa Localização",3,
16562,,452,800,260000,,55,50,2,Salvador,Salão de festas,,Imbuí,,2,Apartamento,Rua das Araras 744,,Apartamento Padrão para Venda em Imbuí Salvador - Ba,1,
16563,,,400,1500000,,250,350,6,,,,,Suítes,4,Casa,,3,Casa à Venda em Bosque Da Saúde,3,
16564,,700,,300000,,50,43,1,,,,,,2,Apartamento,,0,Vende - Se Dois Dormitórios na Bela Vista Ocasião,0,
16565,,1000,100,300000,18,200,32,1,São Paulo,Espaço Gourmet,,Brooklin,Suítes,1,Apartamento,R HEINRICH HERTZ 115,1,The Time Com Unidades Á Venda É Só Aqui.,1,
16566,,1350,,1180000,,240,160,4,São Paulo,Playground,,Higienópolis,Suítes,3,Apartamento,AL Barros,1,Apartamento Totalmente Reformado em Higienópolis Com 4 Vagas,4,
16567,,900,120,1060000,,124,124,1,São Paulo,Salão de festas,,Vila Mariana,,3,Apartamento,Avenida Conselheiro Rodrigues Alves,0,Apartamento 124 m&sup2; Vila Mariana,1,
16568,1200,1600,622,,,150,150,5,São Paulo,,,Santana,,3,Apartamento,R Alphonsus de Guimaraens,3,"Apartamento, em Santana, 3 Suites Com Armários, Piscina, Porteiro 24hrs E 3 Vagas De Garagem",3,12001600
16569,,,,660000,,130,95,2,Curitiba,Fitness/Sala de Ginástica,,Bigorrilho,Mobiliado,2,Apartamento,Rua Euclides Da Cunha,1,Eq Champagnat - Apartamento Garden Mobiliado no Bairro Bigorrilho,1,
16570,,1100,420,1070000,21,108,108,3,São Paulo,Fitness/Sala de Ginástica,,Moema,,3,Apartamento,Alameda dos Anapurus,1,"Lazer De Clube, 2 Vagas, Fora Da Rota",2,
16571,,1447,1528,1240000,6,121,121,3,Brasília,Salão de festas,,Park Sul,Churrasqueira,4,Apartamento,Setor Apartamento 4 quartos a venda  no Ilhas Maurício - Park Sul,1,Apartamento 4 Quartos A Venda no Ilhas Maurício - Park Sul,2,
16572,,3550,583,4920000,6,,518,4,Nova Lima,Salão de festas,,Vale dos Cristais,Suítes,4,Apartamento,Av. Constelaçoes,4,Apartamento à Venda - no Vale Dos Cristais,5,
16573,,,,750000,,169,90,2,Curitiba,Espaço Gourmet,,Água Verde,Suítes,3,Apartamento,Rua Brigadeiro Franco 3204,1,Apartamento à Venda - na Água Verde,2,
16574,,1200,,1400000,,208,176,4,Curitiba,Fitness/Sala de Ginástica,,Bigorrilho,Suítes,3,Apartamento,Rua Padre Agostinho 1835,3,Apartamento à Venda - em Bigorrilho,2,
